,Condition,Cylinders,Drive,Fuel,Link,Make,Model,Odometer,Paint_color,Price,Size,Title,Title_status,Transmission,Type,Unnamed: 0,VIN,Year,id
115, good, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sfv/cto/d/2014-nissan-altima/6698118064.html,Nissan,Altima,123000, red,6000.0, full-size,2014 Nissan Altima, salvage, automatic,,,,2014,115.0
116, new, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sfv/cto/d/2016-nissan-altima-sr-black/6680802511.html,Nissan,Altima,20000, black,16400.0, mid-size,"2016 NISSAN ALTIMA SR, BLACK/BLACK INT 4 CILINDERS", clean, automatic, sedan,,,2016,116.0
117, like new, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lac/cto/d/2015-nissan-altima-sno/6696446922.html,Nissan,Altima,99552, white,9995.0, mid-size,"2015 Nissan Altima S,No Accidents,Well Maintained!!", clean, automatic, sedan,,,2015,117.0
118, good,,, hybrid,https://losangeles.craigslist.org/lac/cto/d/nissan-altima-hybrid-2008/6696433476.html,Nissan,Altima,200000,,3000.0,,Nissan Altima Hybrid 2008, clean, automatic,,,,2008,118.0
119, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sgv/cto/d/2017-nissan-altima-sl-16k/6671425177.html,Nissan,Altima,16000, black,15900.0, full-size,2017 NISSAN ALTIMA SL 16K MILAGE LEATHER, clean, automatic, sedan,,,2017,119.0
120, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/wst/cto/d/2012-nissan-altima-4-cly-auto/6671805958.html,Nissan,Altima,67000, white,7495.0, mid-size,"2012 Nissan Altima * 4 Cly * Auto * * Sale, Sale, Sale * *", clean, automatic, sedan,,,2012,120.0
121, excellent, 4 cylinders, fwd, diesel,https://losangeles.craigslist.org/lac/cto/d/2010-nissan-altima/6696177586.html,Nissan,Altima,185000,,5350.0, mid-size,2010 Nissan Altima, clean, other, coupe,,,2010,121.0
122, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lac/cto/d/2012-nissan-altima/6672058724.html,Nissan,Altima,118000, black,7600.0, mid-size,2012 *********************** NISSAN ALTIMA, clean, automatic, sedan,,,2012,122.0
123, good,,, gas,https://losangeles.craigslist.org/wst/cto/d/2009-nissan-altima-for-sale/6689072189.html,Nissan,Altima,120754, grey,4200.0,,2009 Nissan Altima for Sale, clean, automatic,,,,2009,123.0
124, good, 4 cylinders, rwd, gas,https://losangeles.craigslist.org/lgb/cto/d/2012-nissan-altima/6696043506.html,Nissan,Altima,87, black,6700.0, compact,2012 NISSAN ALTIMA, clean, automatic, sedan,,,2012,124.0
125, excellent, 4 cylinders,, gas,https://losangeles.craigslist.org/lac/cto/d/2011-nissan-altima-25/6695562407.html,Nissan,Altima,115000, black,6900.0,,2011 NISSAN ALTIMA 2.5 S, clean, automatic, sedan,, 1N4AL2AP3BN455469,2011,125.0
126, like new, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lac/cto/d/2015-nissan-altima-sv/6695548967.html,Nissan,Altima,28000, brown,9500.0, full-size,2015 Nissan Altima SV, salvage, automatic, sedan,,,2015,126.0
127, good, 4 cylinders,, gas,https://losangeles.craigslist.org/sfv/cto/d/2009-nissan-altima/6695057723.html,Nissan,Altima,115000,,5000.0,,2009 Nissan Altima, clean, automatic,,,,2009,127.0
128, good, 4 cylinders, rwd, gas,https://losangeles.craigslist.org/lgb/cto/d/2012-nissan-altima/6694973340.html,Nissan,Altima,87, black,6500.0, compact,2012 NISSAN ALTIMA, clean, automatic, sedan,,,2012,128.0
129, good, 4 cylinders,, gas,https://losangeles.craigslist.org/lgb/cto/d/2010-premium-nissan-altima-25/6678776004.html,Nissan,Altima,93000, red,7400.0, compact,2010 Premium Nissan Altima 2.5 S, clean, automatic, coupe,,,2010,129.0
130, like new, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sfv/cto/d/nissan-altima-2016/6668754210.html,Nissan,Altima,35500, grey,8900.0, compact,Nissan Altima 2016, salvage, automatic, sedan,,,2016,130.0
131, excellent, 4 cylinders,, gas,https://losangeles.craigslist.org/wst/cto/d/2014-nissan-altima-runs-and/6693052344.html,Nissan,Altima,93, silver,7900.0,,2014 Nissan Altima ~ RUNS AND LOOKS LIKE NEW !!, lien, automatic, sedan,,,2014,131.0
132, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lgb/cto/d/red-nissan-altima-for-sale/6691582884.html,Nissan,Altima,43000, red,15200.0, full-size,Red Nissan Altima for sale!!, clean, automatic, sedan,,,2014,132.0
133, like new, 4 cylinders, rwd, gas,https://losangeles.craigslist.org/sgv/cto/d/2017-nissan-altima-sr/6670254676.html,Nissan,Altima,16700, blue,14950.0, mid-size,"2017 NISSAN ALTIMA SR    LOW 16,700 MILES, PADDLE SHIFTERS", salvage, automatic, sedan,, 1N4AL3AP2HC227456,2017,133.0
134, good, 4 cylinders,, gas,https://losangeles.craigslist.org/lac/cto/d/2011-nissan-altima/6691029496.html,Nissan,Altima,160000, red,4300.0, full-size,2011 nissan Altima, clean, automatic, sedan,,,2011,134.0
135, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lac/cto/d/2012-nissan-altima-25s/6665053304.html,Nissan,Altima,97121, black,8995.0, full-size,2012 Nissan ALTIMA 2.5S Excellent Custom Wheels, clean, automatic, sedan,, 1N4AL2APXCC141296,2012,135.0
136, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lac/cto/d/2012-nissan-altima-custom/6666612375.html,Nissan,Altima,97121, black,9995.0, full-size,2012 Nissan ALTIMA Custom wheels, clean, automatic, sedan,,,2012,136.0
137, excellent, 4 cylinders,, gas,https://losangeles.craigslist.org/lac/cto/d/2012-nissan-altima-coupe/6690752122.html,Nissan,Altima,65472,,6500.0,,2012 NISSAN ALTIMA COUPE  civic tc g35 2013, salvage, automatic,,,,2012,137.0
138, good, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sgv/cto/d/2012-nissan-altima-25/6690378436.html,Nissan,Altima,75000, blue,6249.0, mid-size,2012 Nissan Altima 2.5 S, clean, automatic, sedan,,,2012,138.0
139, good, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lac/cto/d/2008-nissan-altima-152k-clean/6664233223.html,Nissan,Altima,152000,,2800.0,,2008 Nissan Altima 152k clean, clean, automatic,,,,2008,139.0
140, excellent, 4 cylinders, fwd, hybrid,https://losangeles.craigslist.org/lac/cto/d/nissan-altima-2011/6689656424.html,Nissan,Altima,89000, grey,4800.0, full-size,Nissan altima 2011, salvage, automatic, sedan,,,2011,140.0
141, good, 4 cylinders,, gas,https://losangeles.craigslist.org/sfv/cto/d/2012-nissan-altima/6689401137.html,Nissan,Altima,106000, silver,5700.0,,2012 Nissan altima, clean, automatic,,,,2012,141.0
142, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lgb/cto/d/2015-nissan-altima-11k-miles/6689025699.html,Nissan,Altima,11865, silver,11500.0,,"2015 Nissan Altima 11k miles, 1 Owner, Moving Must Sell", missing, automatic,,,,2015,142.0
143, good, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sfv/cto/d/2012-nissan-altima/6688587648.html,Nissan,Altima,139000, white,6500.0, mid-size,2012 Nissan altima, salvage, automatic,,,,2012,143.0
144, good, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sfv/cto/d/2013-nissan-altima-56k-millas/6664964706.html,Nissan,Altima,56000,,6800.0, mid-size,2013 Nissan Altima S 56k millas, salvage, automatic, sedan,,,2013,144.0
145, good, 6 cylinders, fwd, gas,https://losangeles.craigslist.org/lac/cto/d/2009-nissan-altima-35se/6688450405.html,Nissan,Altima,184000, silver,4500.0, mid-size,2009 Nissan Altima 3.5SE, clean, automatic, sedan,, 1N4BL21E89N438180,2009,145.0
146, like new, 4 cylinders,, gas,https://losangeles.craigslist.org/lac/cto/d/nissan-altima-2015/6688272162.html,Nissan,Altima,84, white,7500.0,,Nissan Altima 2015, salvage, automatic,,,,2015,146.0
147, good, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sgv/cto/d/2010-nissan-altima-25-sl/6687741706.html,Nissan,Altima,70500, grey,6900.0, mid-size,2010 NISSAN ALTIMA 2.5 SL, salvage, automatic, sedan,,,2010,147.0
148, like new, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lac/cto/d/2016-nissan-altima/6684035050.html,Nissan,Altima,14999, grey,14999.0,,2016 Nissan Altima, clean, automatic,,,,2016,148.0
149, good, 6 cylinders,, gas,https://losangeles.craigslist.org/ant/cto/d/2011-nissan-altima-coupe/6662655469.html,Nissan,Altima,153000, red,6700.0, compact,2011 Nissan Altima Coupe - PRICE REDUCED, clean, automatic, coupe,,,2011,149.0
150, good, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lac/cto/d/nissan-altima/6685821655.html,Nissan,Altima,111,,5800.0,,Nissan Altima, clean, automatic,,,,2011,150.0
151, good, 4 cylinders,, gas,https://losangeles.craigslist.org/sfv/cto/d/good/6685574559.html,Nissan,Altima,74528, white,6800.0,,Good, clean, automatic, sedan,,,2012,151.0
152, good,,, gas,https://losangeles.craigslist.org/lgb/cto/d/nissan-2008-altima-coupe/6685429639.html,Nissan,Altima,108000, black,2800.0,,Nissan 2008 Altima coupe, clean, automatic,,,,2008,152.0
153, good,,, gas,https://losangeles.craigslist.org/wst/cto/d/nissan-altima-coupe-for-sale/6663901123.html,Nissan,Altima,85000, silver,6000.0,,Nissan Altima Coupe for sale!!, clean, automatic, coupe,,,2009,153.0
154, good, 4 cylinders,, gas,https://losangeles.craigslist.org/sfv/cto/d/nissan-altima-coupe-2012/6685334820.html,Nissan,Altima,80000, black,8000.0,,Nissan Altima Coupe 2012 - Black 80K Miles - Runs Amazing *Cash Only*, clean, automatic, coupe,,,2012,154.0
155, like new, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lac/cto/d/nissan-altima/6658609275.html,Nissan,Altima,48400, black,9900.0, mid-size,Nissan Altima 2015 2.5 S, clean, automatic, sedan,,,2015,155.0
156, like new, 4 cylinders,, gas,https://losangeles.craigslist.org/lac/cto/d/nissan-altima-coupe-010/6666027001.html,Nissan,Altima,65000, grey,7999.0,,Nissan Altima coupe  010, clean, automatic,,,,2010,156.0
0, like new, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lgb/cto/d/2017-camry-se/6688978573.html,Toyota,Camry,11411, grey,13795.0, mid-size,2017 Camry SE, salvage, automatic, sedan,0.0,,2017,
1, like new, 4 cylinders, fwd, hybrid,https://losangeles.craigslist.org/lac/cto/d/2015-toyota-cambry-hybrid/6705122658.html,Toyota,Camry,13500, blue,22000.0, mid-size,2015 Toyota Cambry hybrid, clean, automatic, sedan,1.0,,2015,
2, excellent,,, gas,https://losangeles.craigslist.org/sfv/cto/d/2014-toyota-camry-se/6707698935.html,Toyota,Camry,44800,,13500.0,,2014 Toyota Camry SE, clean, automatic,,2.0,,2014,
3, excellent,,, gas,https://losangeles.craigslist.org/sfv/cto/d/2014-toyota-camry-se/6710607119.html,Toyota,Camry,44800,,13500.0,,2014 Toyota Camry SE, clean, automatic,,3.0,,2014,
4, like new, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/wst/cto/d/2012-toyota-camry-le/6708548429.html,Toyota,Camry,77615, silver,10500.0, compact,2012 Toyota Camry LE, clean, automatic, sedan,4.0,,2012,
5, like new, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lac/cto/d/toyota-camry-le-2008/6710285661.html,Toyota,Camry,100000, black,5700.0, compact,Toyota Camry Le 2008, clean, automatic, sedan,5.0,,2008,
6, excellent, 6 cylinders,, gas,https://losangeles.craigslist.org/sfv/cto/d/2008-toyota-camry-xle-v6-low/6704719790.html,Toyota,Camry,86000,,7950.0,,2008  Toyota Camry XLE- V6 - Low miles-excellent condition, clean, automatic,,6.0,,2008,
7, good, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sfv/cto/d/toyota-camry-le-2009-woodland/6700233568.html,Toyota,Camry,107700, black,4650.0, full-size,Toyota Camry LE  2009 (Woodland Hills) 4650$, salvage, automatic, sedan,7.0,,2009,
8, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lac/cto/d/2008-toyota-camry-le/6704000752.html,Toyota,Camry,139000, red,5500.0, mid-size,2008 TOYOTA CAMRY LE EXCELLENT CONDITION NICE SPORT CAR GOOD DEAL, clean, automatic, sedan,8.0,,2008,
9, good, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lac/cto/d/toyota-camry-2009/6710219293.html,Toyota,Camry,122789, black,4500.0, compact,TOYOTA  CAMRY  2009, salvage, automatic, sedan,9.0,,2009,
10, excellent, 4 cylinders,, gas,https://losangeles.craigslist.org/lac/cto/d/2011-toyota-camry-le/6710194046.html,Toyota,Camry,153100, brown,5500.0,,2011 TOYOTA CAMRY LE, clean, automatic,,10.0, 4T1BF3EKXBU186351,2011,
11, excellent, 4 cylinders,, gas,https://losangeles.craigslist.org/wst/cto/d/2011-toyta-camry-le-64kmi/6710142727.html,Toyota,Camry,64000,,10300.0,,2011 TOYTA CAMRY LE 64KMI ORIGI MI EXCE COND CLEAN TITLE SELL BY OWNER, clean, automatic,,11.0, 4T1BF3EK4BU156312,2011,
12, like new, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sfv/cto/d/toyota-camry-ao-2015-se/6702457943.html,Toyota,Camry,88000, black,12900.0, mid-size,Toyota Camry año 2015 .SE., clean, automatic, sedan,12.0,,2015,
13, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/wst/cto/d/2014-toyota-camry-se-sport/6710041885.html,Toyota,Camry,70300, grey,13600.0,,2014 Toyota Camry SE Sport 70k One Owner, clean, automatic,,13.0,,2014,
14, like new, 4 cylinders,, gas,https://losangeles.craigslist.org/wst/cto/d/2018-toyota-camry-le-4-door/6709987674.html,Toyota,Camry,15502, blue,20000.0, full-size,2018 Toyota Camry LE 4 Door Sedan Like New Perfect Fully Loaded, clean, automatic,,14.0, 4T1B11HK3JU501049,2018,
15, good, 6 cylinders,, gas,https://losangeles.craigslist.org/lac/cto/d/2014-toyota-camry-xle-luxury/6704049137.html,Toyota,Camry,68000,,13500.0,,2014 Toyota Camry XLE Luxury Model - 6 Cylinder - Clean - NOT Salvaged, clean, automatic,,15.0, 4t1bk1fk6eu549103,2014,
16, excellent, 4 cylinders, rwd, gas,https://losangeles.craigslist.org/lac/cto/d/toyota-camry-as-2013/6709961475.html,Toyota,Camry,140000, black,8300.0, full-size,Toyota Camry as 2013, clean, automatic, sedan,16.0,,2013,
17, excellent, 4 cylinders, fwd, hybrid,https://losangeles.craigslist.org/wst/cto/d/2008-toyota-camry-hybrid-xle/6709961224.html,Toyota,Camry,153000, brown,5550.0, full-size,2008 Toyota Camry hybrid xle, clean, automatic, sedan,17.0,,2008,
18, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lac/cto/d/2011-toyota-camry/6700693675.html,Toyota,Camry,71000, grey,6800.0, mid-size,2011 Toyota Camry, salvage, automatic,,18.0,,2011,
19, excellent,,, gas,https://losangeles.craigslist.org/lac/cto/d/2012-toyota-camry-se/6709900303.html,Toyota,Camry,90000,,7200.0,,2012 Toyota camry se, salvage, automatic,,19.0,,2012,
20, like new, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sgv/cto/d/2016-toyota-camry-special/6705116598.html,Toyota,Camry,35500, blue,15999.0, full-size,2016 Toyota Camry Special Edition, clean, automatic, sedan,20.0, 4T1BF1FK6GU563977,2016,
21, like new,,, gas,https://losangeles.craigslist.org/lac/cto/d/2014-toyota-corolla/6709735282.html,Toyota,Camry,46000, black,11500.0,,2014 Toyota corolla, clean, automatic,,21.0, 5yfburhe9ep093955,2014,
22, like new, 4 cylinders,, gas,https://losangeles.craigslist.org/lgb/cto/d/2012-toyota-camry/6686264394.html,Toyota,Camry,58000,,11800.0,,2012 TOYOTA CAMRY, clean, automatic,,22.0,,2012,
23, good, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lgb/cto/d/2013-toyota-camry-se-sport/6695603706.html,Toyota,Camry,63249, grey,12600.0, mid-size,2013 toyota camry se sport clean title low miles, clean, automatic, sedan,23.0,,2013,
24, excellent, 4 cylinders,, gas,https://losangeles.craigslist.org/lac/cto/d/2011-toyota-camry/6709430251.html,Toyota,Camry,69000, silver,8500.0,,2011 TOYOTA CAMRY, salvage, automatic,,24.0,,2011,
25, excellent, 4 cylinders,, gas,https://losangeles.craigslist.org/wst/cto/d/2014-toyota-camry-only-29k/6699540403.html,Toyota,Camry,29000,,14500.0,,"2014 toyota camry, only 29k miles, 1 owner, clean title", clean, automatic, sedan,25.0, 4T4BF1FK4ER421582,2014,
26, excellent, 4 cylinders,, gas,https://losangeles.craigslist.org/lac/cto/d/2014-toyota-camry-only-29k/6699527563.html,Toyota,Camry,29000,,14500.0,,"2014 toyota camry, only 29k miles, 1 owner, clean title", clean, automatic, sedan,26.0, 4T4BF1FK4ER421582,2014,
27, excellent, 4 cylinders,, gas,https://losangeles.craigslist.org/sfv/cto/d/2014-toyota-camry-only-29k/6692174098.html,Toyota,Camry,29000,,14500.0,,"2014 toyota camry, only 29k miles, 1 owner, clean title", clean, automatic, sedan,27.0, 4T4BF1FK4ER421582,2014,
28, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lac/cto/d/2010-toyota-camry-le-6800/6709357128.html,Toyota,Camry,97000, silver,6800.0, compact,"2010 Toyota Camry LE $$$ 6,800", clean, automatic, sedan,28.0,,2010,
29, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lac/cto/d/2008-toyota-camry-le/6700563834.html,Toyota,Camry,138243, silver,6400.0, full-size,2008 TOYOTA CAMRY LE/, clean, automatic, sedan,29.0, 4T4BE46K78R012453,2008,
30, excellent, 4 cylinders, rwd, gas,https://losangeles.craigslist.org/lac/cto/d/2009-toyota-camry-leclean/6707473011.html,Toyota,Camry,168000,,4799.0,,2009 Toyota camry LE..clean title/carfax, clean, automatic, sedan,30.0,,2009,
31, like new, 4 cylinders,, gas,https://losangeles.craigslist.org/wst/cto/d/2018-toyota-camry-le-4-door/6709273304.html,Toyota,Camry,15520,,20900.0,,2018 Toyota Camry LE 4 Door Sedan Like New Low Mileage w/ Warranty, clean, automatic, sedan,31.0, 4T1B11HK3JU501049,2018,
32, like new,,, gas,https://losangeles.craigslist.org/lac/cto/d/2017-toyota-camry-se-clean/6709115042.html,Toyota,Camry,14000,,17000.0,,2017 Toyota Camry SE Clean title only 14k miles, clean, automatic,,32.0,,2017,
33, good, 4 cylinders, fwd, hybrid,https://losangeles.craigslist.org/wst/cto/d/2008-toyota-camry-hybrid-xle/6706279181.html,Toyota,Camry,153000, brown,5500.0, full-size,2008 Toyota Camry hybrid xle, clean, automatic, sedan,33.0,,2008,
34, good, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lac/cto/d/2014-toyota-camry-se-sedan-4d/6704594590.html,Toyota,Camry,61007, grey,11900.0,,"2014 Toyota Camry SE Sedan 4D Auto 6-Speed *Low 61,007 Miles*", clean, automatic, sedan,34.0, 4T1BF1FK5EU398095,2014,
35, like new, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sfv/cto/d/2009-toyota-camry/6708574027.html,Toyota,Camry,98000, blue,6300.0, full-size,2009 toyota camry, clean, automatic, sedan,35.0,,2009,
36, like new, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sfv/cto/d/2009-toyota-camry/6708560934.html,Toyota,Camry,98000, blue,5999.0, full-size,2009 toyota camry, clean, automatic, sedan,36.0,,2009,
37, good, 4 cylinders,, gas,https://losangeles.craigslist.org/ant/cto/d/2016-toyota-camry-se/6689946926.html,Toyota,Camry,59000,,16500.0,,2016 TOYOTA CAMRY SE, clean, automatic,,37.0,,2016,
38, new, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lgb/cto/d/2017-toyota-camry-se/6687050705.html,Toyota,Camry,20785, black,16450.0, full-size,2017 TOYOTA CAMRY SE, clean, automatic, sedan,38.0,,2017,
39, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sfv/cto/d/2014-toyota-camry/6696720350.html,Toyota,Camry,44000, black,8900.0, full-size,2014 Toyota Camry, salvage, automatic, sedan,39.0,,2014,
40, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lac/cto/d/toyota-camry-2009/6708384916.html,Toyota,Camry,29400, silver,7299.0, sub-compact,Toyota Camry 2009, salvage, automatic, sedan,40.0,,2009,
41, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lac/cto/d/toyota-camry-se/6707800143.html,Toyota,Camry,146000, white,6600.0, mid-size,Toyota Camry se, clean, automatic, sedan,41.0,,2009,
42, good, 4 cylinders,, gas,https://losangeles.craigslist.org/lac/cto/d/toyota-camry-2009/6707657185.html,Toyota,Camry,153, silver,5500.0, compact,Toyota Camry 2009, clean, automatic, sedan,42.0,,2009,
43, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sgv/cto/d/2014-toyota-camry/6698604605.html,Toyota,Camry,44000, black,8900.0, full-size,2014 toyota Camry, salvage, automatic, sedan,43.0,,2014,
44, excellent,,, gas,https://losangeles.craigslist.org/lac/cto/d/2012-toyota-camry-se-really/6707615581.html,Toyota,Camry,72600,,9500.0,,2012 Toyota Camry SE / Really Powerful, clean, automatic, sedan,44.0, 4T1BF1FK7CU144210,2012,
45, excellent, 6 cylinders, fwd, gas,https://losangeles.craigslist.org/sfv/cto/d/2009-toyota-camry/6707604600.html,Toyota,Camry,128000, grey,6500.0, compact,2009 Toyota Camry, clean, automatic, sedan,45.0,,2009,
46, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sgv/cto/d/2011-toyota-camry-le-clean/6707520205.html,Toyota,Camry,128000, grey,7500.0,,2011 Toyota Camry LE -CLEAN TITLE -$7500, clean, automatic, sedan,46.0,,2011,
47, excellent, 4 cylinders,, gas,https://losangeles.craigslist.org/lac/cto/d/2010-toyota-camry-le-sedan/6682555247.html,Toyota,Camry,91000, silver,8000.0, compact,2010 Toyota Camry LE sedan, clean, automatic, sedan,47.0,,2010,
48, excellent, 4 cylinders,, gas,https://losangeles.craigslist.org/sgv/cto/d/clean-title-one-owner/6707294672.html,Toyota,Camry,70987, silver,12500.0,,clean title one owner, clean, automatic,,48.0,0,2015,
49, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sfv/cto/d/2014-toyota-camry-se-toyota/6707268604.html,Toyota,Camry,102000, grey,11000.0, mid-size,2014 TOYOTA CAMRY SE TOYOTA CLEAN TITLE!!!, clean, automatic, sedan,49.0,,2014,
50, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/wst/cto/d/toyota-camry-2015/6707143988.html,Toyota,Camry,120000, white,12500.0, full-size,Toyota Camry 2015, clean, automatic, sedan,50.0,,2015,
51, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sgv/cto/d/2017-toyota-camry-se-4dr-sedan/6695828231.html,Toyota,Camry,43,,13000.0,,2017 Toyota Camry SE 4dr Sedan, clean, automatic, sedan,51.0,,2017,
52, excellent, 4 cylinders, rwd, gas,https://losangeles.craigslist.org/lac/cto/d/car-for-sale/6706688130.html,Toyota,Camry,58500, white,13950.0, full-size,car for sale, clean, automatic, sedan,52.0, 4T1BF1FKOEU324924,2014,
53, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sgv/cto/d/2017-toyota-camry-se-4dr-sedan/6696290691.html,Toyota,Camry,43,,13000.0,,2017 Toyota Camry SE 4dr Sedan, clean, automatic, sedan,53.0,,2017,
54, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sgv/cto/d/2011-toyota-camry-le-super/6698877765.html,Toyota,Camry,125306, grey,7500.0, full-size,2011 Toyota Camry LE super clean, clean, automatic, sedan,54.0,,2011,
55, like new, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/wst/cto/d/2011-toyota-camry-le-25-liter/6703248024.html,Toyota,Camry,97320,,9500.0, mid-size,2011 Toyota Camry LE/ 2.5 Liter, clean, automatic, sedan,55.0, #17767,2011,
56, excellent, 6 cylinders, fwd, gas,https://losangeles.craigslist.org/sgv/cto/d/2015-toyota-camry-xse-sedan-4d/6686057274.html,Toyota,Camry,81910, white,15900.0,,2015 Toyota Camry XSE Sedan 4D, clean, automatic, sedan,56.0, 4T1BK1FK6FU028402,2015,
57, excellent, 6 cylinders, fwd, gas,https://losangeles.craigslist.org/lgb/cto/d/2015-toyota-camry-xse-sedan/6697254235.html,Toyota,Camry,81910, white,15900.0, mid-size,2015 Toyota Camry XSE Sedan, clean, automatic, sedan,57.0, 4T1BK1FK6FU028402,2015,
58, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sgv/cto/d/2011-toyota-camry-se/6700502235.html,Toyota,Camry,131000, black,7800.0, full-size,2011 Toyota Camry SE, clean, automatic, sedan,58.0, 4T1BF3EKXBU168061,2011,
59, good, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sfv/cto/d/2009-toyota-camry-le/6697325346.html,Toyota,Camry,130000, grey,6280.0, mid-size,2009 Toyota Camry LE, clean, automatic, sedan,59.0,,2009,
60, good, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sfv/cto/d/2011-toyota-camry-ce/6705830429.html,Toyota,Camry,75395, silver,7299.0, full-size,2011 TOYOTA CAMRY CE, clean, automatic, sedan,60.0,,2011,
61, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sfv/cto/d/2014-toyota-camrymiles-clean/6687594469.html,Toyota,Camry,62000, white,13750.0, mid-size,2014 TOYOTA CAMRY 62000 MILES CLEAN TITLE, clean, automatic, sedan,61.0,,2014,
62, good, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sgv/cto/d/2014-toyota-camry-se-with/6705609093.html,Toyota,Camry,76000, black,8995.0, mid-size,2014 Toyota Camry SE with salvage title, salvage, automatic, sedan,62.0,,2014,
63, like new, 4 cylinders,, gas,https://losangeles.craigslist.org/lac/cto/d/2016-toyota-camry-se/6705541344.html,Toyota,Camry,50000,,11000.0,,2016 TOYOTA CAMRY SE, salvage, automatic,,63.0,,2016,
64, like new, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/wst/cto/d/2018-toyota-camry-le-eco-tech/6694173704.html,Toyota,Camry,17829, black,17500.0, full-size,2018 TOYOTA CAMRY LE // ECO TECH, salvage, automatic, sedan,64.0,,2018,
65, like new, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sfv/cto/d/2012-toyota-camry-se/6704304989.html,Toyota,Camry,86500, black,8450.0, mid-size,2012 Toyota Camry SE, salvage, automatic, sedan,65.0,,2012,
66, like new, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sfv/cto/d/2012-toyota-camry-se/6704304662.html,Toyota,Camry,86500, black,8450.0, mid-size,2012 Toyota Camry SE, salvage, automatic, sedan,66.0,,2012,
67, good, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sgv/cto/d/toyota-camry-le/6692727577.html,Toyota,Camry,136000, silver,5800.0, full-size,Toyota camry le, clean, automatic, sedan,67.0,,2009,
68, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lgb/cto/d/2017-toyota-camry-se-clean/6703860776.html,Toyota,Camry,25004, grey,17400.0, mid-size,2017 TOYOTA CAMRY SE/CLEAN TITLE/25K MILES, clean, automatic, sedan,68.0,,2017,
