,Condition,Cylinders,Drive,Fuel,Link,Make,Model,Odometer,Paint_color,Price,Size,Title,Title_status,Transmission,Type,Unnamed: 0,VIN,Year,id
23, excellent, 6 cylinders, fwd, gas,https://losangeles.craigslist.org/sfv/cto/d/2012-honda-accord-exl-fully/6709746902.html,Honda,Accord,50000, black,8200.0, compact,2012 Honda Accord EXL Fully Loaded, salvage, automatic, coupe,, 1HGCS2B82CA001446,2012,23.0
24, good, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lgb/cto/d/2008-honda-accord/6707353739.html,Honda,Accord,120, silver,5600.0, mid-size,2008 honda accord, salvage, automatic,,,,2008,24.0
25, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/ant/cto/d/2017-honda-accord-sport/6704048115.html,Honda,Accord,13000, silver,15400.0,,2017 Honda Accord Sport Special Edition Silver, salvage, automatic, sedan,,,2017,25.0
26, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/wst/cto/d/2017-honda-accord-lx-clean/6709625260.html,Honda,Accord,11000, black,15500.0,,2017 HONDA ACCORD. LX CLEAN TITLE, clean, automatic, sedan,,,2017,26.0
27, like new, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sgv/cto/d/2014-honda-accord-sport-model/6709462627.html,Honda,Accord,38406, black,15500.0, compact,2014 Honda Accord Sport Model, clean, manual, sedan,,,2014,27.0
28, excellent,,, gas,https://losangeles.craigslist.org/lac/cto/d/2009-honda-accord-ex-v6-4/6709348524.html,Honda,Accord,108953, grey,9995.0,,2009 Honda Accord EX-L V6 4-Door Sedan, clean, automatic,,, 1HGCP36829A030777,2009,28.0
29, good, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lac/cto/d/2013-honda-accord-sport/6709313665.html,Honda,Accord,108523, grey,5200.0, compact,2013 Honda Accord sport, clean, automatic, sedan,,,2013,29.0
30, like new, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lac/cto/d/2017-honda-accord-lx/6709233077.html,Honda,Accord,38200, grey,10900.0, full-size,2017 HONDA ACCORD LX, salvage, automatic, sedan,,,2017,30.0
31, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sgv/cto/d/2013-honda-accord-ex-coupe/6709209495.html,Honda,Accord,65400, white,13995.0, mid-size,2013 HONDA ACCORD EX COUPE ***ONE OF ITS KIND***, clean, automatic, coupe,,,2013,31.0
32, excellent, 4 cylinders,, gas,https://losangeles.craigslist.org/lac/cto/d/2009-honda-accord-lx-4door/6702903705.html,Honda,Accord,100000,,6500.0,,2009 HONDA ACCORD LX-p 4door 100K^ NO ACCIDENT ^ Excellent RUN!, clean, other,,, 1HGCP26499A197306,2009,32.0
33, like new, 4 cylinders,, gas,https://losangeles.craigslist.org/lac/cto/d/2013-honda-accord-lx-clean/6704263193.html,Honda,Accord,102, red,10450.0,,2013 HONDA ACCORD LX CLEAN TITLE CLEAN CAR FAX, clean, automatic, sedan,,,2013,33.0
34, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/wst/cto/d/2011-honda-accord-se-sedan/6687397825.html,Honda,Accord,80000, silver,6999.0, compact,2011 Honda accord SE sedan automatic clean car!, salvage, automatic, sedan,, see photo,2011,34.0
35, excellent, 4 cylinders,, gas,https://losangeles.craigslist.org/lac/cto/d/2009-honda-accord-lx-4door/6701252571.html,Honda,Accord,100000,,6450.0,,2009 Honda Accord LX-p 4door Sedan 100K ^NO ACCIDENT ^Original OWNER, clean, automatic,,, 1HGCP26499A197306,2009,35.0
36, new, 4 cylinders,, gas,https://losangeles.craigslist.org/lgb/cto/d/2017-honda-accord-sport/6703421284.html,Honda,Accord,14000, red,14500.0,,2017 HONDA ACCORD SPORT, rebuilt, automatic,,,,2017,36.0
37, good, 6 cylinders, fwd, gas,https://losangeles.craigslist.org/sfv/cto/d/honda-accord-v6-ex-edition/6704500067.html,Honda,Accord,150000, green,6200.0, full-size,Honda Accord V6 Ex edition, clean, automatic, sedan,,,2008,37.0
38, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/wst/cto/d/2015-honda-accord-sport-sedan/6688180883.html,Honda,Accord,35000, silver,16600.0, mid-size,2015 HONDA ACCORD SPORT SEDAN, clean, automatic, sedan,, 1HGCR2F5XFA063578,2015,38.0
39, like new, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lac/cto/d/2016-honda-accord-sport/6708622001.html,Honda,Accord,29000, silver,13990.0, compact,2016 Honda Accord Sport, salvage, automatic, sedan,,,2016,39.0
40, like new, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lac/cto/d/2012-honda-accord-exl/6703748227.html,Honda,Accord,24000,,8900.0, compact,2012 Honda accord exl, salvage, automatic,,,,2012,40.0
41, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/wst/cto/d/2012-honda-accord/6708603548.html,Honda,Accord,155000, grey,7500.0, full-size,2012 Honda Accord, clean, automatic, sedan,,,2012,41.0
42, excellent, 6 cylinders, fwd, gas,https://losangeles.craigslist.org/sgv/cto/d/2008-honda-accord-ex-fully/6699135122.html,Honda,Accord,208000, grey,6500.0, compact,2008 Honda Accord EX fully loaded, clean, automatic,,,,2008,42.0
43, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/ant/cto/d/honda-accord-2012cash-only/6708592352.html,Honda,Accord,94000, silver,11000.0,,Honda Accord 2012**cash only, clean, automatic, coupe,,,2012,43.0
44, like new, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sfv/cto/d/2013-honda-accord-for-sale/6708499980.html,Honda,Accord,52000, green,14500.0, full-size,2013 Honda Accord for SALE!, clean, automatic, sedan,,,2013,44.0
45, good, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lac/cto/d/2008-honda-accord/6708453668.html,Honda,Accord,120, silver,5500.0,,2008 honda accord, salvage, automatic, sedan,,,2008,45.0
46, good, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/wst/cto/d/2008-honda-accord/6682677984.html,Honda,Accord,144000, white,5400.0, full-size,2008 Honda Accord, salvage, automatic, sedan,,,2008,46.0
47, like new, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sfv/cto/d/2014-honda-accord-lx-sedan/6692479648.html,Honda,Accord,54475, black,12900.0, compact,2014 HONDA ACCORD LX SEDAN, clean, automatic, sedan,, 1HGCR2F37EA253027,2014,47.0
48, like new, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lac/cto/d/2014-honda-accord-lx-sedan/6692511588.html,Honda,Accord,54475, black,12900.0, compact,2014 HONDA ACCORD LX SEDAN, salvage, automatic, sedan,, 1HGCR2F37EA253027,2014,48.0
49, like new, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sgv/cto/d/2014-honda-accord-lx-sedan/6692518958.html,Honda,Accord,54475, black,12900.0, compact,2014 HONDA ACCORD LX SEDAN, clean, automatic, sedan,, 1HGCR2F37EA253027,2014,49.0
