,Title,Make,Model,Year,Condition,Cylinders,Drive,Fuel,Odometer,Paint_color,Size,Title_status,Transmission,Type,Price,VIN,Link
0,2012 Honda civic EX 4 doors 80K miles automatic moon roof runs great,Honda,Civic,2012, excellent, 4 cylinders, fwd, gas,82000, black, mid-size, salvage, automatic, sedan,"$5,000 ",,https://losangeles.craigslist.org/lac/cto/d/2012-honda-civic-ex-4-doors/6710645314.html
1,2016 Honda Civic LX,Honda,Civic,2016, like new, 4 cylinders, fwd, gas,22250, grey, sub-compact, salvage, automatic, sedan,"$11,495 ",,https://losangeles.craigslist.org/lgb/cto/d/2016-honda-civic-lx/6696529351.html
2,Honda Civic EXl Turbo Hatchback Honda Sensing 40mpg,Honda,Civic,2017, like new, 4 cylinders, fwd, gas,9000, grey,, salvage, automatic,,"$14,200 ",,https://losangeles.craigslist.org/lac/cto/d/honda-civic-exl-turbo/6710624688.html
3,2013 Honda Civic SI One Owner Clean Title,Honda,Civic,2013, excellent, 4 cylinders, fwd, gas,45000,,, clean, manual, sedan,"$14,500 ",,https://losangeles.craigslist.org/sfv/cto/d/2013-honda-civic-si-one-owner/6710598238.html
4,2018 Honda Civic,Honda,Civic,2018, good, 4 cylinders, fwd, gas,2250, blue, mid-size, clean, automatic, sedan,"$24,344 ",0,https://losangeles.craigslist.org/lac/cto/d/2018-honda-civic/6710586588.html
5,2012 Honda Civic,Honda,Civic,2012, like new, 4 cylinders,, gas,82000, black,, salvage, automatic,,"$6,900 ",,https://losangeles.craigslist.org/lac/cto/d/2012-honda-civic/6710496518.html
6,"Honda Civic EX 2014 americano,va llegando 81MIL MILLAS BOLSAS BUENAS!",Honda,Civic,2014, like new, 4 cylinders,, gas,81,,, salvage, automatic,,"$7,500 ",,https://losangeles.craigslist.org/wst/cto/d/honda-civic-ex-2014/6710470359.html
7,Honda Civic coupe 2013 lx,Honda,Civic,2013, excellent, 4 cylinders, fwd, gas,150000, black,, salvage, automatic,,"$4,000 ",,https://losangeles.craigslist.org/lac/cto/d/honda-civic-coupe-2013-lx/6710479455.html
8,2015 Honda Civic SE Sedan 4D  ** Clean Title - One Owner **,Honda,Civic,2015, excellent, 4 cylinders, fwd, gas,59600, black, compact, clean, automatic, sedan,"$12,500 ",,https://losangeles.craigslist.org/wst/cto/d/2015-honda-civic-se-sedan-4d/6710332717.html
9,HONDA CIVIC 2008,Honda,Civic,2008, excellent, 4 cylinders,, gas,160000, black, compact, clean, manual,,"$4,100 ", 2HGFG11698H540647,https://losangeles.craigslist.org/lac/cto/d/honda-civic-2008/6700430042.html
10,2012 Honda Civic,Honda,Civic,2012, excellent, 4 cylinders, fwd, gas,46000, brown, compact, salvage, automatic, sedan,"$6,800 ",,https://losangeles.craigslist.org/lac/cto/d/2012-honda-civic/6710311745.html
11,2008 Honda Civic,Honda,Civic,2008, excellent, 4 cylinders, rwd, gas,89300, silver, compact, clean, automatic, sedan,"$6,800 ",,https://losangeles.craigslist.org/lgb/cto/d/2008-honda-civic/6700774219.html
12,"Honda Civic EX 2014 americano,va llegando 81MIL MILLAS BOLSAS BUENAS!",Honda,Civic,2014, like new, 4 cylinders,, gas,81,,, salvage, automatic,,"$7,500 ",,https://losangeles.craigslist.org/wst/cto/d/honda-civic-ex-2014/6710280501.html
13,2008 Honda Civic Hybrid,Honda,Civic,2008, excellent, 4 cylinders, fwd, hybrid,145000, yellow, mid-size, clean, automatic, sedan,"$5,500 ", JHMFA36268S025081,https://losangeles.craigslist.org/sgv/cto/d/2008-honda-civic-hybrid/6710264530.html
14,Stunning 2012 Honda Civic EX,Honda,Civic,2012, excellent, 4 cylinders, fwd, gas,88783, blue, mid-size, clean, automatic, sedan,"$10,499 ", 19XFB2F99CE305028,https://losangeles.craigslist.org/sfv/cto/d/stunning-2012-honda-civic-ex/6707517575.html
15,2008 Honda Civic,Honda,Civic,2008, good,, fwd, gas,149657, blue, compact, clean, automatic, sedan,"$4,500 ",,https://losangeles.craigslist.org/wst/cto/d/2008-honda-civic/6701265798.html
16,2012 Honda Civic LX Coupe,Honda,Civic,2012, good, 4 cylinders,, gas,101992, grey,, clean, automatic, coupe,"$7,200 ",,https://losangeles.craigslist.org/sfv/cto/d/2012-honda-civic-lx-coupe/6697377615.html
17,Honda Civic Si 2D coupe 2017,Honda,Civic,2017, excellent, 4 cylinders,, gas,11000, green, full-size, clean, manual, convertible,"$17,600 ",,https://losangeles.craigslist.org/lac/cto/d/honda-civic-si-2d-coupe-2017/6710125761.html
18,2012 Honda Civic,Honda,Civic,2012, like new, 4 cylinders,, gas,82000, black,, salvage, automatic,,"$6,900 ",,https://losangeles.craigslist.org/lac/cto/d/2012-honda-civic/6710100913.html
19,2008 Honda Civic LX 120k Tituló limpio,Honda,Civic,2008, excellent,,, gas,120000,,, clean, automatic, sedan,"$5,800 ",,https://losangeles.craigslist.org/lac/cto/d/2008-honda-civic-lx-120k/6689088312.html
20,2010 Honda Civic LX,Honda,Civic,2010, excellent, 4 cylinders,, gas,120000,,, clean, automatic, sedan,"$6,800 ",,https://losangeles.craigslist.org/lac/cto/d/2010-honda-civic-lx/6707481306.html
21,12 HONDA CIVIC EXL AZUL,Honda,Civic,2012, good, 4 cylinders,, gas,62347,,, clean, automatic,,"$10,600 ",,https://losangeles.craigslist.org/sgv/cto/d/12-honda-civic-exl-azul/6710078206.html
22,"2012 HONDA CIVIC HYBRID 4DR SEDAN 48MPG 40K MILES, SALVAG",Honda,Civic,2012, like new, 4 cylinders, fwd, hybrid,40000, grey, compact, salvage, automatic, sedan,"$7,400 ",,https://losangeles.craigslist.org/wst/cto/d/2012-honda-civic-hybrid-4dr/6690058474.html
23,***2012 HONDA CIVIC EX-L ORIGINAL OWNER LOW MILES CLEAN TITLE***,Honda,Civic,2012, excellent, 4 cylinders,, gas,132000,,, clean, automatic, sedan,"$7,800 ",,https://losangeles.craigslist.org/sgv/cto/d/2012-honda-civic-ex-original/6706328787.html
24,2012 BMW 128i convertible clean title low miles,Honda,Civic,2012, excellent, 6 cylinders, rwd, gas,72000, grey, compact, clean, automatic, sedan,"$13,000 ",,https://losangeles.craigslist.org/sfv/cto/d/2012-bmw-128i-convertible/6705356089.html
25,2013 honda civic **,Honda,Civic,2013, like new, 4 cylinders, fwd, gas,93000, black, compact, clean, automatic, sedan,"$8,900 ",,https://losangeles.craigslist.org/sfv/cto/d/2013-honda-civic/6692163140.html
26,2008 Honda Civic Excellent Condition,Honda,Civic,2008, excellent, 4 cylinders, fwd, gas,133121, grey, compact, clean, automatic, coupe,"$4,900 ",,https://losangeles.craigslist.org/lac/cto/d/2008-honda-civic-excellent/6695224885.html
27,2008 Honda Civic Excellent Condition,Honda,Civic,2008, excellent, 4 cylinders, fwd, gas,134121, silver, compact, clean, automatic, coupe,"$4,900 ",,https://losangeles.craigslist.org/lac/cto/d/2008-honda-civic-excellent/6704078569.html
28,2015 Honda Civic 22k miles BY OWNER,Honda,Civic,2015, excellent, 4 cylinders, fwd, gas,22000, white, compact, salvage, automatic, sedan,"$10,000 ", 19XFB2F52FE708284,https://losangeles.craigslist.org/sfv/cto/d/2015-honda-civic-22k-miles-by/6709744236.html
29,2017 HONDA CIVIC LX  CLEAN TITLE,Honda,Civic,2017, like new, 4 cylinders, fwd, gas,14000, grey,, clean, automatic, sedan,"$14,900 ",,https://losangeles.craigslist.org/wst/cto/d/2017-honda-civic-lx-clean/6685405853.html
30,2017 Honda Civic,Honda,Civic,2017, like new, 4 cylinders, fwd, gas,17758, grey, full-size, clean, automatic, sedan,"$15,500 ", 2HGFC2F51HH506560,https://losangeles.craigslist.org/wst/cto/d/2017-honda-civic/6699828173.html
31,2015 Honda Civic,Honda,Civic,2015, like new, 4 cylinders, fwd, gas,48456, black, compact, salvage, automatic, sedan,"$10,500 ", Hola,https://losangeles.craigslist.org/lac/cto/d/2015-honda-civic/6709442091.html
32,2013 Honda Civic LX,Honda,Civic,2013, excellent, 4 cylinders, fwd, gas,111969, grey, compact, clean, automatic, sedan,"$8,750 ",,https://losangeles.craigslist.org/lac/cto/d/2013-honda-civic-lx/6690199770.html
33,>>> Honda Civic w Pioneer sound system and 12 inch subwoofer,Honda,Civic,2008, excellent, 4 cylinders,, gas,72698, white, compact, clean, automatic, coupe,"$6,500 ",,https://losangeles.craigslist.org/lac/cto/d/honda-civic-pioneer-sound/6709421019.html
34,2014  HONDA / CIVIC  / EX / COUPE  / LOW MILEAGE / BACK,Honda,Civic,2014, excellent, 4 cylinders, fwd, gas,34523, grey, compact, clean, automatic, coupe,"$13,995 ", 2HGFG3B81EH523672,https://losangeles.craigslist.org/wst/cto/d/2014-honda-civic-ex-coupe-low/6696423031.html
35,Honda Civic Si 2017 (6kmiles),Honda,Civic,2017, like new, 4 cylinders,, gas,6000, grey,, salvage, manual,,"$15,500 ",,https://losangeles.craigslist.org/lac/cto/d/honda-civic-sikmiles/6694745808.html
36,"Honda accord exl $5300 CLEAN TITLE 132,000 miles 2008 GOOD CONDITIONS",Honda,Civic,2008, like new, 4 cylinders, rwd, gas,132000, grey, compact, clean, automatic, sedan,"$5,300 ", J,https://losangeles.craigslist.org/lac/cto/d/honda-accord-exl-5300-clean/6709370034.html
