,Title,Make,Model,Year,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,Price,VIN,Link
189,2013 Honda Civic,Toyota,Civic,2013, good, 4 cylinders, fwd, gas, 36000, silver,, salvage, automatic,,$8800,,https://losangeles.craigslist.org/lgb/cto/d/2013-honda-civic/6692059480.html
190,[PRICE REDUCED] 2016 Honda Civic LE 4Dr Sedan,Toyota,Civic,2016, excellent, 4 cylinders, fwd, gas, 39259, grey,, clean, automatic, sedan,$14990, 2HGFC2F56GH550665,https://losangeles.craigslist.org/lac/cto/d/price-reduced-2016-honda/6685921785.html
191,2013 Honda Civic EX,Toyota,Civic,2013, excellent, 4 cylinders,, gas, 40750,,, clean, automatic, sedan,$13500, 19xfb2f81de279629,https://losangeles.craigslist.org/sgv/cto/d/2013-honda-civic-ex/6668782245.html
192,"2009 HONDA CIVIC LX 4D Automatic, one owner",Toyota,Civic,2009, good, 4 cylinders, fwd, gas, 83000,,, clean, automatic,,$7700,,https://losangeles.craigslist.org/sgv/cto/d/2009-honda-civic-lx-4d/6672762728.html
193,2008 Honda Civic with Only 56200 Miles,Toyota,Civic,2008, good,,, gas, 56200, blue, mid-size, clean, automatic, sedan,$5500, 2HGFA16598H536566,https://losangeles.craigslist.org/wst/cto/d/2008-honda-civic-with/6690434904.html
194,Honda Civic 2008 low mileage one owner,Toyota,Civic,2008, good, 4 cylinders, fwd, gas, 90000, red, compact, clean, automatic, coupe,$4800,,https://losangeles.craigslist.org/wst/cto/d/honda-civic-2008-low-mileage/6689859229.html
195,2010 honda civic ex trade for 4x4 jeep grand cherokee,Toyota,Civic,2010, good, 4 cylinders, fwd, gas, 147000, red, compact, salvage, automatic, coupe,$4900,,https://losangeles.craigslist.org/ant/cto/d/2010-honda-civic-ex-trade-for/6689800786.html
196,2009 Honda Civic Coupe,Toyota,Civic,2009, excellent,,, gas, 82885, white, mid-size, salvage, automatic, coupe,$5500,,https://losangeles.craigslist.org/lgb/cto/d/2009-honda-civic-coupe/6674502566.html
197,For sale,Toyota,Civic,2008, excellent, 4 cylinders,, gas, 83, silver, compact, clean, automatic, sedan,$7300,,https://losangeles.craigslist.org/wst/cto/d/for-sale/6689388477.html
198,2015 HONDA CIVIC,Toyota,Civic,2015, excellent,,, gas, 28600, silver,, clean, automatic,,$13500,,https://losangeles.craigslist.org/lgb/cto/d/2015-honda-civic/6689249842.html
199,2010 Honda Civic LX,Toyota,Civic,2010, good, 4 cylinders, fwd, gas, 101000, blue, compact, clean, automatic, sedan,$5999, 2HGFA1F54AH579024,https://losangeles.craigslist.org/wst/cto/d/2010-honda-civic-lx/6667013085.html
200,2014 honda civic si sedan,Toyota,Civic,2014, like new, 4 cylinders, fwd, gas, 70000, red,, clean, manual, sedan,$17000,,https://losangeles.craigslist.org/wst/cto/d/2014-honda-civic-si-sedan/6688987568.html
201,Honda Civic 2015 for sale only 36k miles!!!,Toyota,Civic,2015, excellent, 4 cylinders, fwd, gas, 36400, blue, mid-size, clean, automatic, sedan,$13800,,https://losangeles.craigslist.org/lgb/cto/d/honda-civic-2015-for-sale/6688576836.html
202,2013 HONDA CIVIC LX,Toyota,Civic,2013, excellent, 4 cylinders, fwd, gas, 27537, grey, compact, salvage, automatic, sedan,$9500,,https://losangeles.craigslist.org/wst/cto/d/2013-honda-civic-lx/6688333730.html
203,honda civic ex,Toyota,Civic,2012, like new, 4 cylinders,, gas, 133,,, salvage, automatic,,$6000,,https://losangeles.craigslist.org/lac/cto/d/honda-civic-ex/6688317599.html
204,2016 HONDA CIVIC,Toyota,Civic,2016, excellent,, fwd, gas, 23199, white, compact, salvage, automatic, sedan,$10000,,https://losangeles.craigslist.org/lac/cto/d/2016-honda-civic/6672075375.html
205,2016 HONDA CIVIC 1.5 TURBO,Toyota,Civic,2016, excellent,, fwd, gas, 48375, grey,, salvage, automatic, sedan,$10799,,https://losangeles.craigslist.org/sfv/cto/d/2016-honda-civic-15-turbo/6672069840.html
206,Honda Civic 2015 Black Car-CLEAN Title Low Mileage,Toyota,Civic,2015, good,,, gas, 27000, black,, clean, automatic, sedan,$13995,,https://losangeles.craigslist.org/wst/cto/d/honda-civic-2015-black-car/6678794290.html
207,2009 Honda Civic - Low Mileage (81k),Toyota,Civic,2009, excellent, 4 cylinders, fwd, gas, 81361, grey, compact, clean, automatic, sedan,$7950, 19XFA16529E029570,https://losangeles.craigslist.org/wst/cto/d/2009-honda-civic-low-mileage/6687566108.html
208,2016 Honda Civic LX VERY GOOD CONDITION,Toyota,Civic,2016, excellent, 4 cylinders, fwd, gas, 20650, black, mid-size, clean, automatic, sedan,$15750, 2hgfc2f51gh56231,https://losangeles.craigslist.org/lac/cto/d/2016-honda-civic-lx-very-good/6687554938.html
209,2008 Honda Civic Hybryd,Toyota,Civic,2008, good, 4 cylinders, fwd, hybrid, 232000, silver, compact, clean, automatic, sedan,$3100,,https://losangeles.craigslist.org/ant/cto/d/2008-honda-civic-hybryd/6667668603.html
210,"2012 HONDA CIVIC HYBRID 4DR SEDAN 48MPG 40K MILES, SALVAGE, $7400 C",Toyota,Civic,2012, excellent, 4 cylinders, fwd, hybrid, 40000, grey, compact, salvage, automatic, sedan,$7400,,https://losangeles.craigslist.org/sgv/cto/d/2012-honda-civic-hybrid-4dr/6672998100.html
211,2010 Honda Civic LX Sedan,Toyota,Civic,2010, excellent, 4 cylinders, fwd, gas, 105000, silver, compact, clean, automatic, sedan,$6800,,https://losangeles.craigslist.org/sgv/cto/d/2010-honda-civic-lx-sedan/6686670065.html
212,09 Civic SI,Toyota,Civic,2009, like new, 4 cylinders, fwd, gas, 116000, black,, clean, manual,,$7500,,https://losangeles.craigslist.org/sgv/cto/d/09-civic-si/6685920224.html
213,"2014:Honda Civic LX Sedan, 56K Miles, Silver",Toyota,Civic,2014, excellent, 4 cylinders, fwd, gas, 56036, silver, compact, clean, automatic, sedan,$12000,,https://losangeles.craigslist.org/sfv/cto/d/2014honda-civic-lx-sedan-56k/6685345244.html
214,"Used Honda Civic LX $5,500 OBO CASH ONLY",Toyota,Civic,2009, good, 4 cylinders,, gas, 112754, blue,, clean, automatic, sedan,$5500, 2HGFA16529H520405,https://losangeles.craigslist.org/lac/cto/d/used-honda-civic-lx-5500-obo/6685265882.html
215,2016 Honda Civic Ex,Toyota,Civic,2016, like new, 4 cylinders, fwd, gas, 52000, black, mid-size, salvage, automatic, sedan,$10200,,https://losangeles.craigslist.org/lgb/cto/d/2016-honda-civic-ex/6685011017.html
216,2016 Honda Civic Ex,Toyota,Civic,2016, like new, 4 cylinders, fwd, gas, 52000, black, mid-size, salvage, automatic, sedan,$10200,,https://losangeles.craigslist.org/lac/cto/d/2016-honda-civic-ex/6684996308.html
217,2011 HONDA CIVIC GX! Natural gas vehicle (CNG) WITH HOV LANE ACCESS!,Toyota,Civic,2011, good, 4 cylinders, rwd, other, 55000, grey, compact, clean, automatic, sedan,$8500, 19XFA4F55BE000961,https://losangeles.craigslist.org/wst/cto/d/2011-honda-civic-gx-natural/6684778234.html
