,Title,Make,Model,Year,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,Price,VIN,Link
97,"2014 Toyota Prius ""Like new,clean Title""",Toyota,Prius,2014, like new, 4 cylinders, fwd, gas, 103000, grey,, clean, automatic,,$10400,,https://losangeles.craigslist.org/sfv/cto/d/2014-toyota-prius-like/6707689574.html
98,2014 Prius C,Toyota,Prius,2014, good, 4 cylinders, fwd, hybrid, 47, black,, lien, automatic,,$10500,,https://losangeles.craigslist.org/lgb/cto/d/2014-prius/6694728573.html
99,2009 Toyota Prius for sale,Toyota,Prius,2009, excellent, 4 cylinders, fwd, gas, 94050, blue, mid-size, clean, automatic, hatchback,$7900, 1G1FW6S09H4191066,https://losangeles.craigslist.org/sfv/cto/d/2009-toyota-prius-for-sale/6707678741.html
100,2010 Toyota Prius clean title (140k) Silver - $7200 (Calabasas),Toyota,Prius,2010, good, 4 cylinders, fwd, gas, 140000, silver, mid-size, clean, automatic, hatchback,$7200, JTDKN3DU3A1300331,https://losangeles.craigslist.org/sfv/cto/d/2010-toyota-prius-clean-title/6707562827.html
101,2011 Toyota Prius,Toyota,Prius,2011, excellent,,, hybrid, 110923, grey,, salvage, automatic,,$6500,,https://losangeles.craigslist.org/sfv/cto/d/2011-toyota-prius/6685265134.html
102,2013 Prius persona,Toyota,Prius,2013, excellent, 4 cylinders,, hybrid, 113000, white,, clean, automatic,,$10500,,https://losangeles.craigslist.org/wst/cto/d/2013-prius-persona/6707531586.html
103,2015 Prius C Hybrid,Toyota,Prius,2015, like new, 4 cylinders, fwd, gas, 47900, black, compact, clean, automatic, hatchback,$14000,,https://losangeles.craigslist.org/sgv/cto/d/2015-prius-hybrid/6707494674.html
104,2009 TOYOTA PRIUS HYBRID CLEAN TITLE,Toyota,Prius,2009, good, 4 cylinders, fwd, hybrid, 182157,,, clean, automatic, sedan,$5777, JTDKB20U493539556,https://losangeles.craigslist.org/sfv/cto/d/2009-toyota-prius-hybrid/6707399129.html
105,2010 toyota prius hybrid,Toyota,Prius,2010, good, 4 cylinders, fwd, hybrid, 146000, silver, compact, clean, automatic,,$6300,,https://losangeles.craigslist.org/wst/cto/d/2010-toyota-prius-hybrid/6707362862.html
106,2010 Toyota Prius clean title one owner,Toyota,Prius,2010, excellent, 4 cylinders,, hybrid, 118000,,, clean, automatic,,$7995,,https://losangeles.craigslist.org/sgv/cto/d/2010-toyota-prius-clean-title/6704163508.html
107,2013 Toyota Prius V low 81k miles clean title,Toyota,Prius,2013, excellent,,, gas, 81791, red,, clean, automatic, hatchback,$12900,,https://losangeles.craigslist.org/lgb/cto/d/2013-toyota-prius-low-81k/6707323113.html
108,Toyota Prius 2009,Toyota,Prius,2009, good, 4 cylinders, fwd, hybrid, 170000, green, compact, clean, automatic, hatchback,$6000, JTDKB20UX97835027,https://losangeles.craigslist.org/wst/cto/d/toyota-prius-2009/6707283086.html
